Original,Inflection,msarhan,is_same
جميل,جميلتين,جمل,False
جميل,الجميلتين,جمل,False
جميل,جملاء,جمل,False
جميل,الجملاء,جمل,False
جميل,جميلات,جمل,False
جميل,الجميلات,جمل,False
جميل,أجمل,جمل,False
جميل,الأجمل,جمل,False
جميل,تجميل,جمل,False
جميل,التجميل,جمل,False
جميل,مجمل,جمل,False
جميل,المجمل,جمل,False
جميل,تجملاً,جمل,False
جميل,جمالاٌ,جمل,False
جميل,جميلي,جمل,False
جميل,جميلته,جمل,False
جميل,جميلتها,جمل,False
جميل,جميلتهما,جمل,False
جميل,جميلتهنا,جمل,False
جميل,جميلتهم,جمل,False
جميل,جميلتنا,جمل,False
جميل,جميلتهن,جمل,False
جميل,جميلتكم,جمل,False
جميل,جميلتكن,جمل,False
جميل,جميلتك,جمل,False
جميل,جميلتكما,جمل,False
جميل,جميلتكنا,جمل,False
صغير,صغير,صغر,False
صغير,أصغر,صغر,False
صغير,الأصغر,صغر,False
صغير,الصغير,صغر,False
صغير,الصغار,صغر,False
صغير,صغار,صغر,False
صغير,صغيرين,صغر,False
صغير,الصغيرين,صغر,False
صغير,صغيران,صغر,False
صغير,الصغيران,صغر,False
صغير,صغيرتين,صغر,False
صغير,الصغيرتين,صغر,False
صغير,الصغيرون,صغر,False
صغير,صغيرون,صغر,False
صغير,الصغيرات,صغر,False
صغير,صغيرات,صغر,False
صغير,صغيري,صغر,False
صغير,صغيره,صغر,False
صغير,صغيرها,صغر,False
صغير,صغيرهما,صغر,False
صغير,صغيرهنا,صغر,False
صغير,صغيرهم,صغر,False
صغير,صغيرنا,صغر,False
صغير,صغيرهن,صغر,False
صغير,صغيركم,صغر,False
صغير,صغيركن,صغر,False
صغير,صغيرك,صغر,False
صغير,صغيركما,صغر,False
صغير,صغيركنا,صغر,False
