Original,Inflection,elasticsearch,is_same
كتب,تكتبا,تكتبا,False
كتب,يكتبون,يكتب,False
كتب,يكتبوا,يكتبوا,False
كتب,يكتبن,يكتبن,False
كتب,نكتب,نكتب,False
كتب,كتبت,كتبت,False
كتب,كتبت,كتبت,False
كتب,كتبت,كتبت,False
كتب,كتبتم,كتبتم,False
كتب,كتبتن,كتبتن,False
كتب,كتب,كتب,True
كتب,كتبت,كتبت,False
كتب,كتبا,كتبا,False
كتب,كتبنا,كتبنا,False
كتب,كتبوا,كتبوا,False
كتب,كتبن,كتبن,False
كتب,كتبنا,كتبنا,False
كتب,إكتب,اكتب,False
كتب,إكتبي,اكتب,False
كتب,إكتبوا,اكتبوا,False
كتب,إكتبن,اكتبن,False
عرف,عرف,عرف,True
عرف,أعرف,اعرف,False
عرف,تعرف,تعرف,False
عرف,تعرفين,تعرف,False
عرف,تعرفي,تعرف,False
عرف,تعرفون,تعرف,False
عرف,تعرفوا,تعرفوا,False
عرف,تعرفن,تعرفن,False
عرف,يعرف,يعرف,False
عرف,تعرف,تعرف,False
عرف,يعرفان,يعرف,False
عرف,يعرفا,يعرفا,False
عرف,تعرفان,تعرف,False
عرف,تعرفا,تعرفا,False
عرف,يعرفون,يعرف,False
عرف,يعرفوا,يعرفوا,False
عرف,يعرفن,يعرفن,False
عرف,نعرف,نعرف,False
عرف,عرفت,عرفت,False
عرف,عرفت,عرفت,False
عرف,عرفت,عرفت,False
عرف,عرفتم,عرفتم,False
عرف,عرفتن,عرفتن,False
عرف,عرف,عرف,True
عرف,عرفت,عرفت,False
عرف,عرفا,عرفا,False
عرف,عرفتا,عرفتا,False
عرف,عرفوا,عرفوا,False
عرف,عرفن,عرفن,False
عرف,عرفنا,عرفنا,False
عرف,إعرف,اعرف,False
عرف,إعرفي,اعرف,False
عرف,إعرفوا,اعرفوا,False
عرف,إعرفن,اعرفن,False
رجع,رجع,رجع,True
رجع,أرجع,ارجع,False
رجع,ترجع,ترجع,False
رجع,ترجعي,ترجع,False
رجع,ترجعين,ترجع,False
رجع,ترجعون,ترجع,False
رجع,ترجعوا,ترجعوا,False
رجع,ترجعن,ترجعن,False
رجع,يرجع,يرجع,False
رجع,ترجع,ترجع,False
رجع,يرجعون,يرجع,False
رجع,يرجعوا,يرجعوا,False
رجع,يرجعان,يرجع,False
رجع,يرجا,يرجا,False
رجع,ترجعان,ترجع,False
رجع,ترجعا,ترجعا,False
رجع,يرجعن,يرجعن,False
رجع,نرجع,نرجع,False
رجع,رجعت,رجعت,False
رجع,رجعت,رجعت,False
رجع,رجعت,رجعت,False
رجع,رجعوا,رجعوا,False
رجع,رجعن,رجعن,False
رجع,رجع,رجع,True
رجع,رجعت,رجعت,False
رجع,رجعا,رجعا,False
رجع,رجعتا,رجعتا,False
رجع,رجعوا,رجعوا,False
رجع,رجعن,رجعن,False
رجع,رجعنا,رجعنا,False
رجع,إرجع,ارجع,False
رجع,إرجعي,ارجع,False
رجع,إرجعوا,ارجعوا,False
رجع,إرجعن,ارجعن,False
درس,درس,درس,True
درس,أدرس,ادرس,False
درس,تدرس,تدرس,False
درس,تدرسين,تدرس,False
درس,تدرسي,تدرس,False
درس,تدرسون,تدرس,False
درس,تدرسوا,تدرسوا,False
درس,تدرسن,تدرسن,False
درس,يدرس,يدرس,False
درس,تدرس,تدرس,False
درس,يدرسان,يدرس,False
درس,يدرسان,يدرس,False
درس,تدرسان,تدرس,False
درس,تدرسا,تدرسا,False
درس,يدرسون,يدرس,False
درس,يدرسوا,يدرسوا,False
درس,يدرسن,يدرسن,False
درس,ندرس,ندرس,False
درس,درست,درست,False
درس,درست,درست,False
درس,درست,درست,False
درس,درستم,درستم,False
درس,درستن,درستن,False
درس,درس,درس,True
درس,درست,درست,False
درس,درسا,درسا,False
درس,درستا,درستا,False
درس,درسوا,درسوا,False
درس,درسن,درسن,False
درس,درسنا,درسنا,False
درس,إدرس,ادرس,False
درس,إدرسي,ادرس,False
درس,إدرسوا,ادرسوا,False
درس,إدرسن,ادرسن,False
نزل,نزل,نزل,True
نزل,أنزل,انزل,False
نزل,تنزل,تنزل,False
نزل,تنزلين,تنزل,False
نزل,تنزلي,تنزل,False
نزل,تنزلون,تنزل,False
نزل,تنزلوا,تنزلوا,False
نزل,تنزلن,تنزلن,False
نزل,ينزل,ينزل,False
نزل,تنزل,تنزل,False
نزل,ينزلان,ينزل,False
نزل,ينزلنا,ينزلنا,False
نزل,تنزلان,تنزل,False
نزل,تنزلنا,تنزلنا,False
نزل,ينزلون,ينزل,False
نزل,ينزلوا,ينزلوا,False
نزل,ينزلن,ينزلن,False
نزل,ننزل,ننزل,False
نزل,نزلت,نزلت,False
نزل,نزلت,نزلت,False
نزل,نزلت,نزلت,False
نزل,نزلتم,نزلتم,False
نزل,نزلتن,نزلتن,False
نزل,نزل,نزل,True
نزل,نزلت,نزلت,False
نزل,نزلا,نزلا,False
نزل,نزلتا,نزلتا,False
نزل,نزلوا,نزلوا,False
نزل,نزلتن,نزلتن,False
نزل,نزلنا,نزلنا,False
نزل,إنزل,انزل,False
نزل,إنزلي,انزل,False
نزل,إنزلوا,انزلوا,False
نزل,إنزلن,انزلن,False
دخل,دخل,دخل,True
دخل,أدخل,ادخل,False
دخل,تدخل,تدخل,False
دخل,تدخلين,تدخل,False
دخل,تدخلي,تدخل,False
دخل,تدخلون,تدخل,False
دخل,تدخلوا,تدخلوا,False
دخل,تدخلن,تدخلن,False
دخل,يدخل,يدخل,False
دخل,تدخل,تدخل,False
دخل,يدخلان,يدخل,False
دخل,يدخلنا,يدخلنا,False
دخل,تدخلان,تدخل,False
دخل,تدخلنا,تدخلنا,False
دخل,يدخلون,يدخل,False
دخل,يدخلوا,يدخلوا,False
دخل,يدخلنا,يدخلنا,False
دخل,ندخل,ندخل,False
دخل,دخلت,دخلت,False
دخل,دخلت,دخلت,False
دخل,دخلت,دخلت,False
دخل,دخلتم,دخلتم,False
دخل,دخلتن,دخلتن,False
دخل,دخل,دخل,True
دخل,دخلت,دخلت,False
دخل,دخلا,دخلا,False
دخل,دخلتا,دخلتا,False
دخل,دخلوا,دخلوا,False
دخل,دخلن,دخلن,False
دخل,دخلنا,دخلنا,False
دخل,أدخل,ادخل,False
دخل,أدخلي,ادخل,False
دخل,أدخلوا,ادخلوا,False
دخل,أدخلن,ادخلن,False
زرع,زرع,زرع,True
زرع,أزرع,ازرع,False
زرع,تزرع,تزرع,False
زرع,تزرعين,تزرع,False
زرع,تزرعي,تزرع,False
زرع,تزرعون,تزرع,False
زرع,تزرعوا,تزرعوا,False
زرع,تزرعن,تزرعن,False
زرع,يزرع,يزرع,False
زرع,تزرع,تزرع,False
زرع,يزرعان,يزرع,False
زرع,يزرعا,يزرعا,False
زرع,تزرعان,تزرع,False
زرع,تزرعا,تزرعا,False
زرع,يزرعون,يزرع,False
زرع,يزرعوا,يزرعوا,False
زرع,يزرعن,يزرعن,False
زرع,نزرع,نزرع,False
زرع,زرعت,زرعت,False
زرع,زرعت,زرعت,False
زرع,زرعت,زرعت,False
زرع,زرعتم,زرعتم,False
زرع,زرعتن,زرعتن,False
زرع,زرع,زرع,True
زرع,زرعت,زرعت,False
زرع,زرعا,زرعا,False
زرع,زرعتا,زرعتا,False
زرع,زرعوا,زرعوا,False
زرع,زرعن,زرعن,False
زرع,زرعنا,زرعنا,False
زرع,إزرع,ازرع,False
زرع,إزرعي,ازرع,False
زرع,إزرعوا,ازرعوا,False
زرع,إزرعن,ازرعن,False
رفع,رفع,رفع,True
رفع,أرفع,ارفع,False
رفع,ترفع,ترفع,False
رفع,ترفعين,ترفع,False
رفع,ترفعي,ترفع,False
رفع,ترفعون,ترفع,False
رفع,ترفعوا,ترفعوا,False
رفع,ترفعن,ترفعن,False
رفع,يرفع,يرفع,False
رفع,ترفع,ترفع,False
رفع,يرفعان,يرفع,False
رفع,يرفعان,يرفع,False
رفع,ترفعان,ترفع,False
رفع,ترفعا,ترفعا,False
رفع,يرفعون,يرفع,False
رفع,يرفعوا,يرفعوا,False
رفع,يرفعن,يرفعن,False
رفع,نرفع,نرفع,False
رفع,رفعت,رفعت,False
رفع,رفعت,رفعت,False
رفع,رفعت,رفعت,False
رفع,رفعتم,رفعتم,False
رفع,رفعتن,رفعتن,False
رفع,رفع,رفع,True
رفع,رفعت,رفعت,False
رفع,رفعا,رفعا,False
رفع,رفعتا,رفعتا,False
رفع,رفعوا,رفعوا,False
رفع,رفعن,رفعن,False
رفع,رفعنا,رفعنا,False
رفع,إرفع,ارفع,False
رفع,إرفعي,ارفع,False
رفع,إرفعوا,ارفعوا,False
رفع,أرفعن,ارفعن,False
صنع,صنع,صنع,True
صنع,أصنع,اصنع,False
صنع,تصنع,تصنع,False
صنع,تصنعين,تصنع,False
صنع,تصنعي,تصنع,False
صنع,تصنعون,تصنع,False
صنع,تصنعوا,تصنعوا,False
صنع,تصنعن,تصنعن,False
صنع,يصنع,يصنع,False
صنع,تصنع,تصنع,False
صنع,يصنعان,يصنع,False
صنع,يصنعا,يصنعا,False
صنع,تصنعان,تصنع,False
صنع,تصنعا,تصنعا,False
صنع,يصنعون,يصنع,False
صنع,يصنعوا,يصنعوا,False
صنع,يصنعن,يصنعن,False
صنع,نصنع,نصنع,False
صنع,صنعت,صنعت,False
صنع,صنعت,صنعت,False
صنع,صنعت,صنعت,False
صنع,صنعتم,صنعتم,False
صنع,صنعتن,صنعتن,False
صنع,صنع,صنع,True
صنع,صنعت,صنعت,False
صنع,صنعا,صنعا,False
صنع,صنعتا,صنعتا,False
صنع,صنعوا,صنعوا,False
صنع,صنعن,صنعن,False
صنع,صنعنا,صنعنا,False
صنع,إصنع,اصنع,False
صنع,إصنعي,اصنع,False
صنع,إصنعوا,اصنعوا,False
صنع,إصنعن,اصنعن,False
فهم,فهم,فهم,True
فهم,أفهم,افهم,False
فهم,تفهم,تفهم,False
فهم,تفهمين,تفهم,False
فهم,تفهمي,تفهم,False
فهم,تفهمون,تفهم,False
فهم,تفهموا,تفهموا,False
فهم,تفهمن,تفهمن,False
فهم,يفهم,يفهم,False
فهم,تفهم,تفهم,False
فهم,يفهمان,يفهم,False
فهم,يفهما,يفهما,False
فهم,تفهمان,تفهم,False
فهم,تفهما,تفهما,False
فهم,يفهمون,يفهم,False
فهم,يفهموا,يفهموا,False
فهم,يفهمن,يفهمن,False
فهم,نفهم,نفهم,False
فهم,فهمت,فهمت,False
فهم,فهمت,فهمت,False
فهم,فهمت,فهمت,False
فهم,فهمتم,فهمتم,False
فهم,فهمتن,فهمتن,False
فهم,فهم,فهم,True
فهم,فهمت,فهمت,False
فهم,فهما,فهما,False
فهم,فهمتا,فهمتا,False
فهم,فهموا,فهموا,False
فهم,فهمن,فهمن,False
فهم,فهمنا,فهمنا,False
فهم,إفهم,افهم,False
فهم,إفهمي,افهم,False
فهم,إفهموا,افهموا,False
فهم,إفهمن,افهمن,False
مرض,مرض,مرض,True
مرض,أمرض,امرض,False
مرض,تمرض,تمرض,False
مرض,تمرضين,تمرض,False
مرض,تمرضي,تمرض,False
مرض,تمرضون,تمرض,False
مرض,تمرضوا,تمرضوا,False
مرض,تمرضن,تمرضن,False
مرض,يمرض,يمرض,False
مرض,تمرض,تمرض,False
مرض,يمرضان,يمرض,False
مرض,يمرضا,يمرضا,False
مرض,تمرضان,تمرض,False
مرض,تمرضا,تمرضا,False
مرض,يمرضون,يمرض,False
مرض,يمرضوا,يمرضوا,False
مرض,يمرضن,يمرضن,False
مرض,نمرض,نمرض,False
مرض,مرضت,مرضت,False
مرض,مرضت,مرضت,False
مرض,مرضت,مرضت,False
مرض,مرضتم,مرضتم,False
مرض,مرضتن,مرضتن,False
مرض,مرض,مرض,True
مرض,مرضت,مرضت,False
مرض,مرضا,مرضا,False
مرض,مرضتا,مرضتا,False
مرض,مرضوا,مرضوا,False
مرض,مرضن,مرضن,False
مرض,مرضنا,مرضنا,False
مرض,إمرض,امرض,False
مرض,إمرضي,امرض,False
مرض,إمرضوا,امرضوا,False
مرض,إمرضن,امرضن,False
سفر, سفر,سفر,True
سفر,أسافر,اسافر,False
سفر,تسافر,تسافر,False
سفر,تسافرين,تسافر,False
سفر,تسافري,تسافر,False
سفر,تسافرون,تسافر,False
سفر,تسافروا,تسافروا,False
سفر,تسافرن,تسافرن,False
سفر,يسافر,يسافر,False
سفر,تسافر,تسافر,False
سفر,يسافران,يسافر,False
سفر,يسافرا,يسافرا,False
سفر,تسافران,تسافر,False
سفر,تسافرا,تسافرا,False
سفر,يسافرون,يسافر,False
سفر,يسافروا,يسافروا,False
سفر,يسافرن,يسافرن,False
سفر,نسافر,نسافر,False
سفر,سافرت,سافرت,False
سفر,سافرت,سافرت,False
سفر,سافرت,سافرت,False
سفر,سافرتم,سافرتم,False
سفر,سافرتن,سافرتن,False
سفر,سافر,سافر,False
سفر,سافرت,سافرت,False
سفر,سافرا,سافرا,False
سفر,سافرتا,سافرتا,False
سفر,سافروا,سافروا,False
سفر,سافرن,سافرن,False
سفر,سافرنا,سافرنا,False
سفر,سافر,سافر,False
سفر,سافري,سافر,False
سفر,سافروا,سافروا,False
سفر,سافرن,سافرن,False
بحث,بحث,بحث,True
بحث,أبحث,ابحث,False
بحث,تبحث,تبحث,False
بحث,تبحثين,تبحث,False
بحث,تبحثي,تبحث,False
بحث,تبحثون,تبحث,False
بحث,تبحثوا,تبحثوا,False
بحث,تبحثن,تبحثن,False
بحث,يبحث,يبحث,False
بحث,تبحث,تبحث,False
بحث,يبحثان,يبحث,False
بحث,يبحثان,يبحث,False
بحث,تبحثا,تبحثا,False
بحث,تبحثان,تبحث,False
بحث,يبحثون,يبحث,False
بحث,يبحثوا,يبحثوا,False
بحث,يبحثن,يبحثن,False
بحث,نبحث,نبحث,False
بحث,بحثت,بحثت,False
بحث,بحثت,بحثت,False
بحث,بحثت,بحثت,False
بحث,بحثتم,بحثتم,False
بحث,بحثتن,بحثتن,False
بحث,بحث,بحث,True
بحث,بحثت,بحثت,False
بحث,بحثا,بحثا,False
بحث,بحثتا,بحثتا,False
بحث,بحثوا,بحثوا,False
بحث,بحثن,بحثن,False
بحث,بحثنا,بحثنا,False
بحث,إبحث,ابحث,False
بحث,إبحثي,ابحث,False
بحث,إبحثوا,ابحثوا,False
بحث,إبحثن,ابحثن,False
فكر,فكر,فكر,True
فكر,أفكر,افكر,False
فكر,تفكر,تفكر,False
فكر,تفكرين,تفكر,False
فكر,تفكري,تفكر,False
فكر,تفكرون,تفكر,False
فكر,تفكروا,تفكروا,False
فكر,تفكرن,تفكرن,False
فكر,يفكر,يفكر,False
فكر,تفكر,تفكر,False
فكر,يفكران,يفكر,False
فكر,يفكرا,يفكرا,False
فكر,تفكران,تفكر,False
فكر,تفكرا,تفكرا,False
فكر,يفكرون,يفكر,False
فكر,يفكروا,يفكروا,False
فكر,يفكرن,يفكرن,False
فكر,نفكر,نفكر,False
فكر,فكرت,فكرت,False
فكر,فكرت,فكرت,False
فكر,فكرت,فكرت,False
فكر,فكرتم,فكرتم,False
فكر,فكرتن,فكرتن,False
فكر,فكر,فكر,True
فكر,فكرت,فكرت,False
فكر,فكرا,فكرا,False
فكر,فكرتا,فكرتا,False
فكر,فكروا,فكروا,False
فكر,فكرن,فكرن,False
فكر,فكرنا,فكرنا,False
فكر,فكر,فكر,True
فكر,فكري,فكر,True
فكر,فكروا,فكروا,False
فكر,فكرن,فكرن,False
نتج,نتج,نتج,True
نتج,أنتج,انتج,False
نتج,تنتج,تنتج,False
نتج,تنتجين,تنتج,False
نتج,تنتجي,تنتج,False
نتج,تنتجون,تنتج,False
نتج,تنتجوا,تنتجوا,False
نتج,تنتجن,تنتجن,False
نتج,ينتج,ينتج,False
نتج,تنتج,تنتج,False
نتج,ينتجان,ينتج,False
نتج,ينتجا,ينتجا,False
نتج,تنتجا,تنتجا,False
نتج,تنتجان,تنتج,False
نتج,ينتجون,ينتج,False
نتج,ينتجوا,ينتجوا,False
نتج,ينتجن,ينتجن,False
نتج,ننتج,ننتج,False
نتج,أنتجت,انتجت,False
نتج,أنتجت,انتجت,False
نتج,أنتجت,انتجت,False
نتج,أنتجتم,انتجتم,False
نتج,أنتجتن,انتجتن,False
نتج,أنتج,انتج,False
نتج,أنتجت,انتجت,False
نتج,أنتجا,انتجا,False
نتج,أنتجتا,انتجتا,False
نتج,أنتجوا,انتجوا,False
نتج,أنتجن,انتجن,False
نتج,أنتجنا,انتجنا,False
نتج,إانتج,اانتج,False
نتج,إنتجي,انتج,False
نتج,إنتجوا,انتجوا,False
نتج,إنتجن,انتجن,False
