Original,Inflection,rosette,is_same
علم,علمنا,عِلْم,FALSE
علم,إعلم,عَلِم,FALSE
علم,إعلمي,عَلِم,FALSE
علم,إعلموا,عَلِم,FALSE
علم,إعلمن,إعلمن,FALSE
درك,درك,دَرَك,FALSE
درك,أدرك,أَدْرَك,FALSE
درك,تدرك,أَدَرّ,FALSE
درك,تدركين,تَدَرُّك,FALSE
درك,تدركي,أَدْرَك,FALSE
درك,تدركون,دَرَّك,FALSE
درك,تدركوا,تَدَرَّك,FALSE
درك,تدركن,أَدَرّ,FALSE
درك,يدرك,أَدَرّ,FALSE
درك,تدرك,أَدَرّ,FALSE
درك,يدركان,دَرَّك,FALSE
درك,يدركا,دَرَّك,FALSE
درك,تدركان,دَرَّك,FALSE
درك,تدركا,تَدَرُّك,FALSE
درك,يدركون,دَرَّك,FALSE
درك,يدركوا,أَدْرَك,FALSE
درك,يدركن,أَدَرّ,FALSE
درك,ندرك,دَرَّك,FALSE
درك,أدركت,أَدْرَك,FALSE
درك,أدركت,أَدْرَك,FALSE
درك,أدركتي,أدركتي,FALSE
درك,أدركتم,أَدْرَك,FALSE
درك,أدركتن,أَدْرَك,FALSE
درك,أدرك,أَدْرَك,FALSE
درك,أدركت,أَدْرَك,FALSE
درك,دركا,دَرَك,FALSE
درك,دركتا,دَرَّك,FALSE
درك,أدركوا,أَدْرَك,FALSE
درك,أدركن,أَدَرّ,FALSE
درك,دركنا,دَرَك,FALSE
درك,إدرك,إدرك,FALSE
درك,إدركي,إدركي,FALSE
درك,إدركوا,إدركوا,FALSE
درك,إدركن,إدركن,FALSE
سمع,سمع,سَمِع,FALSE
سمع,أسمع,أَسْمَع,FALSE
سمع,تسمع,سَمِع,FALSE
سمع,تسمعين,تَسَمُّع,FALSE
سمع,تسمعي,سَمِع,FALSE
سمع, تسمعون,سَمَّع,FALSE
سمع,تسمعوا,تَسَمَّع,FALSE
سمع,تسمعن,سَمِع,FALSE
سمع,يسمع,سَمِع,FALSE
سمع,تسمع,سَمِع,FALSE
سمع,يسمعان,سَمِع,FALSE
سمع,يسمعا,سَمِع,FALSE
سمع,تسمعان,سَمِع,FALSE
سمع,تسمعا,تَسَمُّع,FALSE
سمع,يسمعون,سَمِع,FALSE
سمع,يسمعوا,سَمِع,FALSE
سمع,يسمعن,سَمِع,FALSE
سمع,نسمع,سَمِع,FALSE
سمع,سمعت,سَمِع,FALSE
سمع,سمعت,سَمِع,FALSE
سمع,سمعت,سَمِع,FALSE
سمع,سمعتم,سَمِع,FALSE
سمع,سمعتن,سَمِع,FALSE
سمع,سمع,سَمِع,FALSE
سمع,سمعت,سَمِع,FALSE
سمع,سمعا,سَمِيع,FALSE
سمع,سمعتا,سَمِع,FALSE
سمع,سمعوا,سَمِع,FALSE
سمع,سمعن,سَمِع,FALSE
سمع,سمعنا,سَمِع,FALSE
سمع,إسمع,إسمع,FALSE
سمع,إسمعي,إسمعي,FALSE
سمع,إسمعوا,إسمعوا,FALSE
سمع,إسمعن,إسمعن,FALSE
نشد,نشد,,FALSE
نشد,أنشد,أَنْشَد,FALSE
نشد,تنشد,أَنْشَد,FALSE
نشد,تنشدين,أَنْشَد,FALSE
نشد,تنشدي,أَنْشَد,FALSE
نشد,تنشدون,أَنْشَد,FALSE
نشد,تنشدوا,تنشدوا,FALSE
نشد,تنشدن,تنشدن,FALSE
نشد,ينشد,أَنْشَد,FALSE
نشد,تنشد,أَنْشَد,FALSE
نشد,ينشدنا,نَشَد,FALSE
نشد,ينشدان,أَنْشَد,FALSE
نشد,تنشدنا,نَشَد,FALSE
نشد,تنشدان,تنشدان,FALSE
نشد,ينشدون,نَشَد,FALSE
نشد,ينشدوا,أَنْشَد,FALSE
نشد,ينشدن,أَنْشَد,FALSE
نشد,ننشد,ننشد,FALSE
نشد,نشدت,نشدت,FALSE
نشد,نشدت,نشدت,FALSE
نشد,نشدت,نشدت,FALSE
نشد,نشدتم,نشدتم,FALSE
نشد,نشدتن,نشدتن,FALSE
نشد,نشد,,FALSE
نشد,نشدت,نشدت,FALSE
نشد,نشدا,نشدا,FALSE
نشد,نشدتا,نشدتا,FALSE
نشد,نشدوا,نشدوا,FALSE
نشد,نشدن,نشدن,FALSE
نشد,نشدنا,نشدنا,FALSE
نشد,إنشد,إنشد,FALSE
نشد,إنشدي,إنشدي,FALSE
نشد,إنشدوا,إنشدوا,FALSE
نشد,إنشدن,إنشدن,FALSE
كتب,كتب,كِتاب,FALSE
كتب,أكتب,أَكْتَب,FALSE
كتب,تكتب,كَتَب,FALSE
كتب,تكتبين,كَتَب,FALSE
كتب,تكتبين,كَتَب,FALSE
كتب,تكتبون,أَكْتَب,FALSE
كتب,تكتبوا,كَتَب,FALSE
كتب,تكتبن,كَتَب,FALSE
كتب,يكتب,كَتَب,FALSE
كتب,تكتب,كَتَب,FALSE
كتب,يكتبان,كَتَب,FALSE
كتب,يكتبا,كَتَب,FALSE
كتب,تكتبان,كَتَب,FALSE
كتب,تكتبا,كَتَب,FALSE
كتب,يكتبون,كَتَب,FALSE
كتب,يكتبوا,كَتَب,FALSE
كتب,يكتبن,كَتَب,FALSE
كتب,نكتب,كَتَب,FALSE
كتب,كتبت,كَتَب,FALSE
كتب,كتبت,كَتَب,FALSE
كتب,كتبت,كَتَب,FALSE
كتب,كتبتم,كَتَب,FALSE
كتب,كتبتن,كَتَب,FALSE
كتب,كتب,كِتاب,FALSE
كتب,كتبت,كَتَب,FALSE
كتب,كتبا,كِتاب,FALSE
كتب,كتبنا,كِتاب,FALSE
كتب,كتبوا,كَتَب,FALSE
كتب,كتبن,تِبْن,FALSE
كتب,كتبنا,كِتاب,FALSE
كتب,إكتب,إكتب,FALSE
كتب,إكتبي,إكتبي,FALSE
كتب,إكتبوا,إكتبوا,FALSE
كتب,إكتبن,إكتبن,FALSE
عرف,عرف,عَرَف,FALSE
عرف,أعرف,أَعْرَف,FALSE
عرف,تعرف,عَرَف,FALSE
عرف,تعرفين,تَعَرُّف,FALSE
عرف,تعرفي,عَرَف,FALSE
عرف,تعرفون,عَرَّف,FALSE
عرف,تعرفوا,تَعَرَّف,FALSE
عرف,تعرفن,عَرَف,FALSE
عرف,يعرف,عَرَف,FALSE
عرف,تعرف,عَرَف,FALSE
عرف,يعرفان,عَرَف,FALSE
عرف,يعرفا,عَرَف,FALSE
عرف,تعرفان,عَرَف,FALSE
عرف,تعرفا,تَعَرُّف,FALSE
عرف,يعرفون,عَرَف,FALSE
عرف,يعرفوا,عَرَف,FALSE
عرف,يعرفن,عَرَف,FALSE
عرف,نعرف,عَرَف,FALSE
عرف,عرفت,عرفت,FALSE
عرف,عرفت,عرفت,FALSE
عرف,عرفت,عرفت,FALSE
عرف,عرفتم,عَرَف,FALSE
عرف,عرفتن,عَرَف,FALSE
عرف,عرف,عَرَف,FALSE
عرف,عرفت,عرفت,FALSE
عرف,عرفا,عَرِيف,FALSE
عرف,عرفتا,عَرَف,FALSE
عرف,عرفوا,عَرَف,FALSE
عرف,عرفن,عَرَف,FALSE
عرف,عرفنا,عُرْف,FALSE
عرف,إعرف,إعرف,FALSE
