Original,Inflection,msarhan,is_same
نشد,تنشدوا,نشد,True
نشد,تنشدن,نشد,True
نشد,ينشد,نشد,True
نشد,تنشد,نشد,True
نشد,ينشدنا,نشد,True
نشد,ينشدان,نشد,True
نشد,تنشدنا,نشد,True
نشد,تنشدان,نشد,True
نشد,ينشدون,نشد,True
نشد,ينشدوا,نشد,True
نشد,ينشدن,نشد,True
نشد,ننشد,نشد,True
نشد,نشدت,نشد,True
نشد,نشدت,نشد,True
نشد,نشدت,نشد,True
نشد,نشدتم,نشد,True
نشد,نشدتن,نشد,True
نشد,نشد,نشد,True
نشد,نشدت,نشد,True
نشد,نشدا,نشد,True
نشد,نشدتا,نشد,True
نشد,نشدوا,نشد,True
نشد,نشدن,نشد,True
نشد,نشدنا,نشد,True
نشد,إنشد,نشد,True
نشد,إنشدي,نشد,True
نشد,إنشدوا,نشد,True
نشد,إنشدن,شدن,False
كتب,كتب,كتب,True
كتب,أكتب,كتب,True
كتب,تكتب,كتب,True
كتب,تكتبين,كتب,True
كتب,تكتبين,كتب,True
كتب,تكتبون,كتب,True
كتب,تكتبوا,كتب,True
كتب,تكتبن,كبن,False
كتب,يكتب,كتب,True
كتب,تكتب,كتب,True
كتب,يكتبان,كتب,True
كتب,يكتبا,كبي,False
كتب,تكتبان,كتب,True
كتب,تكتبا,كبي,False
كتب,يكتبون,كتب,True
كتب,يكتبوا,كتب,True
كتب,يكتبن,كبن,False
كتب,نكتب,كتب,True
كتب,كتبت,كتب,True
كتب,كتبت,كتب,True
كتب,كتبت,كتب,True
كتب,كتبتم,كتب,True
كتب,كتبتن,كتب,True
كتب,كتب,كتب,True
كتب,كتبت,كتب,True
كتب,كتبا,كتب,True
كتب,كتبنا,كتب,True
كتب,كتبوا,كتب,True
كتب,كتبن,كتب,True
كتب,كتبنا,كتب,True
كتب,إكتب,كتب,True
كتب,إكتبي,كبي,False
كتب,إكتبوا,كتب,True
كتب,إكتبن,كبن,False
عرف,عرف,عرف,True
عرف,أعرف,عرف,True
عرف,تعرف,عرف,True
عرف,تعرفين,عرف,True
عرف,تعرفي,عرف,True
عرف,تعرفون,عرف,True
عرف,تعرفوا,عرف,True
عرف,تعرفن,عرف,True
عرف,يعرف,عرف,True
عرف,تعرف,عرف,True
عرف,يعرفان,عرف,True
عرف,يعرفا,عرف,True
عرف,تعرفان,عرف,True
عرف,تعرفا,عرف,True
عرف,يعرفون,عرف,True
عرف,يعرفوا,عرف,True
عرف,يعرفن,عرف,True
عرف,نعرف,عرف,True
عرف,عرفت,عرف,True
عرف,عرفت,عرف,True
عرف,عرفت,عرف,True
عرف,عرفتم,عرف,True
عرف,عرفتن,عرف,True
عرف,عرف,عرف,True
عرف,عرفت,عرف,True
عرف,عرفا,عرف,True
عرف,عرفتا,عرف,True
عرف,عرفوا,عرف,True
عرف,عرفن,عرف,True
عرف,عرفنا,عرف,True
عرف,إعرف,عرف,True
عرف,إعرفي,عرف,True
عرف,إعرفوا,عرف,True
عرف,إعرفن,عرف,True
رجع,رجع,رجع,True
رجع,أرجع,رجع,True
رجع,ترجع,رجع,True
رجع,ترجعي,رجع,True
رجع,ترجعين,رجع,True
رجع,ترجعون,رجع,True
رجع,ترجعوا,رجع,True
رجع,ترجعن,رجع,True
رجع,يرجع,رجع,True
رجع,ترجع,رجع,True
رجع,يرجعون,رجع,True
رجع,يرجعوا,رجع,True
رجع,يرجعان,رجع,True
رجع,يرجا,رجأ,False
رجع,ترجعان,رجع,True
رجع,ترجعا,رجع,True
رجع,يرجعن,رجع,True
رجع,نرجع,رجع,True
رجع,رجعت,رجع,True
رجع,رجعت,رجع,True
رجع,رجعت,رجع,True
رجع,رجعوا,رجع,True
رجع,رجعن,رجع,True
رجع,رجع,رجع,True
رجع,رجعت,رجع,True
رجع,رجعا,رجع,True
رجع,رجعتا,رجع,True
رجع,رجعوا,رجع,True
رجع,رجعن,رجع,True
رجع,رجعنا,رجع,True
رجع,إرجع,رجع,True
رجع,إرجعي,رجع,True
رجع,إرجعوا,رجع,True
رجع,إرجعن,رجع,True
درس,درس,درس,True
درس,أدرس,أدرس,False
درس,تدرس,درس,True
درس,تدرسين,درس,True
درس,تدرسي,درس,True
درس,تدرسون,درس,True
درس,تدرسوا,درس,True
درس,تدرسن,درس,True
درس,يدرس,درس,True
درس,تدرس,درس,True
درس,يدرسان,درس,True
درس,يدرسان,درس,True
درس,تدرسان,درس,True
درس,تدرسا,درس,True
درس,يدرسون,درس,True
درس,يدرسوا,درس,True
درس,يدرسن,درس,True
درس,ندرس,درس,True
درس,درست,درس,True
درس,درست,درس,True
درس,درست,درس,True
درس,درستم,درس,True
درس,درستن,درس,True
درس,درس,درس,True
درس,درست,درس,True
درس,درسا,درس,True
درس,درستا,درس,True
درس,درسوا,درس,True
درس,درسن,درس,True
درس,درسنا,درس,True
درس,إدرس,درس,True
درس,إدرسي,درس,True
درس,إدرسوا,درس,True
درس,إدرسن,درس,True
نزل,نزل,نزل,True
نزل,أنزل,نزل,True
نزل,تنزل,نزل,True
نزل,تنزلين,نزل,True
نزل,تنزلي,نزل,True
نزل,تنزلون,نزل,True
نزل,تنزلوا,نزل,True
نزل,تنزلن,نزل,True
نزل,ينزل,نزل,True
نزل,تنزل,نزل,True
نزل,ينزلان,نزل,True
نزل,ينزلنا,نزل,True
نزل,تنزلان,نزل,True
نزل,تنزلنا,نزل,True
نزل,ينزلون,نزل,True
نزل,ينزلوا,نزل,True
نزل,ينزلن,نزل,True
نزل,ننزل,نزل,True
نزل,نزلت,نزل,True
نزل,نزلت,نزل,True
نزل,نزلت,نزل,True
نزل,نزلتم,نزل,True
نزل,نزلتن,نزل,True
نزل,نزل,نزل,True
نزل,نزلت,نزل,True
نزل,نزلا,نزل,True
نزل,نزلتا,نزل,True
نزل,نزلوا,نزل,True
نزل,نزلتن,نزل,True
نزل,نزلنا,نزل,True
نزل,إنزل,نزل,True
نزل,إنزلي,نزل,True
نزل,إنزلوا,نزل,True
نزل,إنزلن,نزل,True
دخل,دخل,دخل,True
دخل,أدخل,دخل,True
دخل,تدخل,دخل,True
دخل,تدخلين,دخل,True
دخل,تدخلي,دخل,True
دخل,تدخلون,دخل,True
دخل,تدخلوا,دخل,True
دخل,تدخلن,دخل,True
دخل,يدخل,دخل,True
دخل,تدخل,دخل,True
دخل,يدخلان,دخل,True
دخل,يدخلنا,دخل,True
دخل,تدخلان,دخل,True
دخل,تدخلنا,دخل,True
دخل,يدخلون,دخل,True
دخل,يدخلوا,دخل,True
دخل,يدخلنا,دخل,True
دخل,ندخل,دخل,True
دخل,دخلت,دخل,True
دخل,دخلت,دخل,True
دخل,دخلت,دخل,True
دخل,دخلتم,دخل,True
دخل,دخلتن,دخل,True
دخل,دخل,دخل,True
دخل,دخلت,دخل,True
دخل,دخلا,دخل,True
دخل,دخلتا,دخل,True
دخل,دخلوا,دخل,True
دخل,دخلن,دخل,True
دخل,دخلنا,دخل,True
دخل,أدخل,دخل,True
دخل,أدخلي,دخل,True
دخل,أدخلوا,دخل,True
دخل,أدخلن,دخل,True
زرع,زرع,زرع,True
زرع,أزرع,زرع,True
زرع,تزرع,زرع,True
زرع,تزرعين,زرع,True
زرع,تزرعي,زرع,True
زرع,تزرعون,زرع,True
زرع,تزرعوا,زرع,True
زرع,تزرعن,زرع,True
زرع,يزرع,زرع,True
زرع,تزرع,زرع,True
زرع,يزرعان,زرع,True
زرع,يزرعا,زرع,True
زرع,تزرعان,زرع,True
زرع,تزرعا,زرع,True
زرع,يزرعون,زرع,True
زرع,يزرعوا,زرع,True
زرع,يزرعن,زرع,True
زرع,نزرع,زرع,True
زرع,زرعت,زرع,True
زرع,زرعت,زرع,True
زرع,زرعت,زرع,True
زرع,زرعتم,زرع,True
زرع,زرعتن,زرع,True
زرع,زرع,زرع,True
زرع,زرعت,زرع,True
زرع,زرعا,زرع,True
زرع,زرعتا,زرع,True
زرع,زرعوا,زرع,True
زرع,زرعن,زرع,True
زرع,زرعنا,زرع,True
زرع,إزرع,زرع,True
زرع,إزرعي,زرع,True
زرع,إزرعوا,زرع,True
زرع,إزرعن,زرع,True
رفع,رفع,رفع,True
رفع,أرفع,رفع,True
رفع,ترفع,رفع,True
رفع,ترفعين,رفع,True
رفع,ترفعي,رفع,True
رفع,ترفعون,رفع,True
رفع,ترفعوا,رفع,True
رفع,ترفعن,رفع,True
رفع,يرفع,رفع,True
رفع,ترفع,رفع,True
رفع,يرفعان,رفع,True
رفع,يرفعان,رفع,True
رفع,ترفعان,رفع,True
رفع,ترفعا,رفع,True
رفع,يرفعون,رفع,True
رفع,يرفعوا,رفع,True
رفع,يرفعن,رفع,True
رفع,نرفع,رفع,True
رفع,رفعت,رفع,True
رفع,رفعت,رفع,True
رفع,رفعت,رفع,True
رفع,رفعتم,رفع,True
رفع,رفعتن,رفع,True
رفع,رفع,رفع,True
رفع,رفعت,رفع,True
رفع,رفعا,رفع,True
رفع,رفعتا,رفع,True
رفع,رفعوا,رفع,True
رفع,رفعن,رفع,True
رفع,رفعنا,رفع,True
رفع,إرفع,رفع,True
رفع,إرفعي,رفع,True
رفع,إرفعوا,رفع,True
رفع,أرفعن,رفع,True
صنع,صنع,صنع,True
صنع,أصنع,صنع,True
صنع,تصنع,صنع,True
صنع,تصنعين,صنع,True
صنع,تصنعي,صنع,True
صنع,تصنعون,صنع,True
صنع,تصنعوا,صنع,True
صنع,تصنعن,صنع,True
صنع,يصنع,صنع,True
صنع,تصنع,صنع,True
صنع,يصنعان,صنع,True
صنع,يصنعا,صنع,True
صنع,تصنعان,صنع,True
صنع,تصنعا,صنع,True
صنع,يصنعون,صنع,True
صنع,يصنعوا,صنع,True
صنع,يصنعن,صنع,True
صنع,نصنع,صنع,True
صنع,صنعت,صنع,True
صنع,صنعت,صنع,True
صنع,صنعت,صنع,True
صنع,صنعتم,صنع,True
صنع,صنعتن,صنع,True
صنع,صنع,صنع,True
صنع,صنعت,صنع,True
صنع,صنعا,صنع,True
صنع,صنعتا,صنع,True
صنع,صنعوا,صنع,True
صنع,صنعن,صنع,True
صنع,صنعنا,صنع,True
صنع,إصنع,صنع,True
صنع,إصنعي,صنع,True
صنع,إصنعوا,صنع,True
صنع,إصنعن,صنع,True
فهم,فهم,فهم,True
فهم,أفهم,فهم,True
فهم,تفهم,فهم,True
فهم,تفهمين,فهم,True
فهم,تفهمي,فهم,True
فهم,تفهمون,فهم,True
فهم,تفهموا,فهم,True
فهم,تفهمن,فهم,True
فهم,يفهم,فهم,True
فهم,تفهم,فهم,True
فهم,يفهمان,فهم,True
فهم,يفهما,يفهما,False
فهم,تفهمان,فهم,True
فهم,تفهما,تفهما,False
فهم,يفهمون,فهم,True
فهم,يفهموا,فهم,True
فهم,يفهمن,فهم,True
فهم,نفهم,نفي,False
فهم,فهمت,فهم,True
فهم,فهمت,فهم,True
فهم,فهمت,فهم,True
فهم,فهمتم,فهم,True
فهم,فهمتن,فهم,True
فهم,فهم,فهم,True
فهم,فهمت,فهم,True
فهم,فهما,فهما,False
فهم,فهمتا,فهم,True
فهم,فهموا,فهم,True
فهم,فهمن,فهم,True
فهم,فهمنا,فهم,True
فهم,إفهم,فهم,True
فهم,إفهمي,فهم,True
فهم,إفهموا,فهم,True
فهم,إفهمن,فهم,True
مرض,مرض,مرض,True
مرض,أمرض,مرض,True
مرض,تمرض,مرض,True
مرض,تمرضين,مرض,True
مرض,تمرضي,مرض,True
مرض,تمرضون,مرض,True
مرض,تمرضوا,مرض,True
مرض,تمرضن,مرض,True
مرض,يمرض,مرض,True
مرض,تمرض,مرض,True
مرض,يمرضان,مرض,True
مرض,يمرضا,رضي,False
مرض,تمرضان,مرض,True
مرض,تمرضا,مرض,True
مرض,يمرضون,مرض,True
مرض,يمرضوا,رضي,False
مرض,يمرضن,مرض,True
مرض,نمرض,مرض,True
مرض,مرضت,مرض,True
مرض,مرضت,مرض,True
مرض,مرضت,مرض,True
مرض,مرضتم,مرض,True
مرض,مرضتن,مرض,True
مرض,مرض,مرض,True
مرض,مرضت,مرض,True
مرض,مرضا,رضي,False
مرض,مرضتا,مرض,True
مرض,مرضوا,رضي,False
مرض,مرضن,مرض,True
مرض,مرضنا,مرض,True
مرض,إمرض,مرض,True
مرض,إمرضي,مرض,True
مرض,إمرضوا,مرض,True
مرض,إمرضن,مرض,True
سفر, سفر,سفر,True
سفر,أسافر,سفر,True
سفر,تسافر,سفر,True
سفر,تسافرين,سفر,True
سفر,تسافري,سفر,True
سفر,تسافرون,سفر,True
سفر,تسافروا,سفر,True
سفر,تسافرن,سفر,True
سفر,يسافر,سفر,True
سفر,تسافر,سفر,True
سفر,يسافران,سفر,True
سفر,يسافرا,سفر,True
سفر,تسافران,سفر,True
سفر,تسافرا,سفر,True
سفر,يسافرون,سفر,True
سفر,يسافروا,سفر,True
سفر,يسافرن,سفر,True
سفر,نسافر,سفر,True
سفر,سافرت,سفر,True
سفر,سافرت,سفر,True
سفر,سافرت,سفر,True
سفر,سافرتم,سفر,True
سفر,سافرتن,سفر,True
سفر,سافر,سفر,True
سفر,سافرت,سفر,True
سفر,سافرا,سفر,True
سفر,سافرتا,سفر,True
سفر,سافروا,سفر,True
سفر,سافرن,سفر,True
سفر,سافرنا,سفر,True
سفر,سافر,سفر,True
سفر,سافري,سفر,True
سفر,سافروا,سفر,True
سفر,سافرن,سفر,True
بحث,بحث,بحث,True
بحث,أبحث,بحث,True
بحث,تبحث,بحث,True
بحث,تبحثين,بحث,True
بحث,تبحثي,بحث,True
بحث,تبحثون,بحث,True
بحث,تبحثوا,بحث,True
بحث,تبحثن,بحث,True
بحث,يبحث,بحث,True
بحث,تبحث,بحث,True
بحث,يبحثان,بحث,True
بحث,يبحثان,بحث,True
بحث,تبحثا,بحث,True
بحث,تبحثان,بحث,True
بحث,يبحثون,بحث,True
بحث,يبحثوا,بحث,True
بحث,يبحثن,بحث,True
بحث,نبحث,بحث,True
بحث,بحثت,بحث,True
بحث,بحثت,بحث,True
بحث,بحثت,بحث,True
بحث,بحثتم,بحث,True
بحث,بحثتن,بحث,True
بحث,بحث,بحث,True
بحث,بحثت,بحث,True
بحث,بحثا,بحث,True
بحث,بحثتا,بحث,True
بحث,بحثوا,بحث,True
بحث,بحثن,بحث,True
بحث,بحثنا,بحث,True
بحث,إبحث,بحث,True
بحث,إبحثي,بحث,True
بحث,إبحثوا,بحث,True
بحث,إبحثن,بحث,True
فكر,فكر,فكر,True
فكر,أفكر,فكر,True
فكر,تفكر,فكر,True
فكر,تفكرين,فكر,True
فكر,تفكري,فكر,True
فكر,تفكرون,فكر,True
فكر,تفكروا,فكر,True
فكر,تفكرن,فكر,True
فكر,يفكر,فكر,True
فكر,تفكر,فكر,True
فكر,يفكران,فكر,True
فكر,يفكرا,فكر,True
فكر,تفكران,فكر,True
فكر,تفكرا,فكر,True
فكر,يفكرون,فكر,True
فكر,يفكروا,فكر,True
فكر,يفكرن,فكر,True
فكر,نفكر,فكر,True
فكر,فكرت,فكر,True
فكر,فكرت,فكر,True
فكر,فكرت,فكر,True
فكر,فكرتم,فكر,True
فكر,فكرتن,فكر,True
فكر,فكر,فكر,True
فكر,فكرت,فكر,True
فكر,فكرا,فكر,True
فكر,فكرتا,فكر,True
فكر,فكروا,فكر,True
فكر,فكرن,فكر,True
فكر,فكرنا,فكر,True
فكر,فكر,فكر,True
فكر,فكري,فكر,True
فكر,فكروا,فكر,True
فكر,فكرن,فكر,True
نتج,نتج,نتج,True
نتج,أنتج,نتج,True
نتج,تنتج,نتج,True
نتج,تنتجين,نتج,True
نتج,تنتجي,نتج,True
نتج,تنتجون,نتج,True
نتج,تنتجوا,نتج,True
نتج,تنتجن,نتج,True
نتج,ينتج,نتج,True
نتج,تنتج,نتج,True
نتج,ينتجان,نتج,True
نتج,ينتجا,نتج,True
نتج,تنتجا,نتج,True
نتج,تنتجان,نتج,True
نتج,ينتجون,نتج,True
نتج,ينتجوا,نتج,True
نتج,ينتجن,نتج,True
نتج,ننتج,نتج,True
نتج,أنتجت,نتج,True
نتج,أنتجت,نتج,True
نتج,أنتجت,نتج,True
نتج,أنتجتم,نتج,True
نتج,أنتجتن,نتج,True
نتج,أنتج,نتج,True
نتج,أنتجت,نتج,True
نتج,أنتجا,نتج,True
نتج,أنتجتا,نتج,True
نتج,أنتجوا,نتج,True
نتج,أنتجن,نتج,True
نتج,أنتجنا,نتج,True
نتج,إانتج,نتج,True
نتج,إنتجي,نتج,True
نتج,إنتجوا,نتج,True
نتج,إنتجن,نتج,True
